the	a
I	p
they	p
she	p
would	v
one	m
me	p
could	v
more	r
more	d
only	r
woman	n
should	v
ask	v
high	j
put	v
same	d
problem	n
place	n
system	n
government	n
point	n
all	r
national	j
book	n
head	n
long	r
power	n
stand	v
almost	r
white	j
idea	n
whether	c
anything	p
office	n
party	n
win	v
teacher	n
second	m
process	n
serve	v
oh	u
behind	i
class	n
pass	v
role	n
drug	n
pull	v
son	n
arm	n
building	n
early	r
space	n
couple	n
court	n
industry	n
quite	r
wall	n
open	j
attention	n
cause	v
culture	n
hundred	m
place	v
material	n
thousand	m
security	n
officer	n
goal	n
plan	v
reduce	v
share	v
hot	j
article	n
career	n
lie	v
list	n
left	j
particularly	r
attack	n
election	n
arrive	v
glass	n
ok	r
gun	n
truth	n
rather	r
design	v
sound	v
green	j
that	r
tonight	r
respond	v
employee	n
wide	j
structure	n
treat	v
worry	v
writer	n
dream	n
somebody	p
